Title,Description,Views,Likes
Agneepath Scheme Explained | Good or Bad? | Agniveers | Dhruv Rathee ft. @sochbymm​,"Agneepath Scheme or Agnipath Scheme 2022 is a new scheme introduced by the government to recruit the youth into the Indian Army for 4 years with a compensation of 30k per month. The recruited people would be known as ""Agniveers"". However, there are some people who are protesting against this initiative. In fact, some of these protests have turned violent too. So what is the reality of this scheme? Are those protests valid? Watch this video to find out as I talk about the Agneepath scheme and the happenings revolving around it in detail.

Link to KukuFM-  https://kukufm.sng.link/Apksi/1ocn/9n2s
Coupon code - DHRUV50 for first 1000 users 

Link to Mohak’s channel: https://www.youtube.com/c/SochYoutube

---------------------------------------------------- 
JOIN MY COURSE: 
✏️Want to become more efficient at your studies or work? Learn how to manage time, battle procrastination in my specialised online course. Join here: https://nasacademy.com/DhruvYT

LISTEN TO MY PODCAST: 
🎧 My Spotify exclusive podcast. Learn about how India works, only on Maha Bharat with Dhruv Rathee: https://spoti.fi/3IhBW51

FOLLOW ME ON:
📩 Telegram: https://t.me/dhruvratheechannel 
📸 Instagram: http://www.instagram.com/dhruvrathee
🐦  Twitter: http://www.twitter.com/dhruv_rathee
▶️ Main Channel: http://www.youtube.com/dhruvrathee
🎦 Vlog Channel: http://www.youtube.com/dhruvratheevlogs
🩳 Shorts Channel: https://www.youtube.com/channel/UCw4IHIMsDO5wpIiprOSXiEA

MY VIDEO TOPICS:
🗺 Geopolitics: https://youtube.com/playlist?list=PL8828Z-IEhFGkz7F_paNquqsFyd357oYA
📘 History: https://youtube.com/playlist?list=PL8828Z-IEhFGSI3R-AkaB95EJBO7nBjGS
🔬 Science: https://youtube.com/playlist?list=PL8828Z-IEhFGrt2Tf1b0qg40g3AFw4YKp
☠️ Mystery: https://youtube.com/playlist?list=PL8828Z-IEhFGF2LJQrRHRtoEfS7BZHZIK
💰Finance: https://youtube.com/playlist?list=PL8828Z-IEhFEG47-MiL0G7Mh6J-T8eBoq
🇮🇳 Indian Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFErzy-eKRAiTta0GLrzn6fM
🌍 International Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFFs3hT95-ZnEHDyLduo40FU

DOWNLOAD MY APP: 
📱Android app: https://play.google.com/store/apps/details?id=com.arStudios.dhruvRatheeApp&hl=en&gl=US
📱iOS App: https://apps.apple.com/ie/app/dhruv-rathee/id1553920898
----------------------------------------------------",6448400,371421
Monkey Man Mystery of Delhi l Kala Bandar of 2001 | Dhruv Rathee,"If you're a 90's kid, you must be remembering the horror of ""Monkey Man"" in Delhi in the year 2001. A strange creature, which was allegedly a combination of monkeys and humans having superpowers used to attack people at the night. But what is the truth of this mysterious being who shook everyone? Was he really someone with superpowers or all this was just a psychological drama? Watch this video to find out where I talk about the much popular Monkey Man Case and explain the reality of it.

---------------------------------------------------- 
JOIN MY COURSE: 
✏️Want to become more efficient at your studies or work? Learn how to manage time, and battle procrastination in my specialised online course. Join here: https://nasacademy.com/DhruvYT

LISTEN TO MY PODCAST: 
🎧 My Spotify exclusive podcast. Learn about how India works, only on Maha Bharat with Dhruv Rathee: https://spoti.fi/3IhBW51

FOLLOW ME ON:
📩 Telegram: https://t.me/dhruvratheechannel 
📸 Instagram: http://www.instagram.com/dhruvrathee
🐦  Twitter: http://www.twitter.com/dhruv_rathee
▶️ Main Channel: http://www.youtube.com/dhruvrathee
🎦 Vlog Channel: http://www.youtube.com/dhruvratheevlogs
🩳 Shorts Channel: https://www.youtube.com/channel/UCw4IHIMsDO5wpIiprOSXiEA

MY VIDEO TOPICS:
🗺 Geopolitics: https://youtube.com/playlist?list=PL8828Z-IEhFGkz7F_paNquqsFyd357oYA
📘 History: https://youtube.com/playlist?list=PL8828Z-IEhFGSI3R-AkaB95EJBO7nBjGS
🔬 Science: https://youtube.com/playlist?list=PL8828Z-IEhFGrt2Tf1b0qg40g3AFw4YKp
☠️ Mystery: https://youtube.com/playlist?list=PL8828Z-IEhFGF2LJQrRHRtoEfS7BZHZIK
💰Finance: https://youtube.com/playlist?list=PL8828Z-IEhFEG47-MiL0G7Mh6J-T8eBoq
🇮🇳 Indian Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFErzy-eKRAiTta0GLrzn6fM
🌍 International Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFFs3hT95-ZnEHDyLduo40FU

DOWNLOAD MY APP: 
📱Android app: https://play.google.com/store/apps/details?id=com.arStudios.dhruvRatheeApp&hl=en&gl=US
📱iOS App: https://apps.apple.com/ie/app/dhruv-rathee/id1553920898
----------------------------------------------------",7475823,337152
Johnny Depp vs Amber Heard Case | The Full Story | Dhruv Rathee,"If you're active on Social Media, you must have heard a thing or two about the Johnny Depp vs Amber Heard Case till now. A case that started in 2016, got concluded in 2022, literally got the attention of millions of people. But what is the exact matter? Why is the entire world so concerned about this controversy? Watch this video to find out where I talk about the Johnny Depp and Amber Heard Controversy in detail, starting from its inception to its conclusion.

Get Har Ghar KukuFM – https://kukufm.sng.link/Apksi/1ocn/9n2s
Get 50% discount till 19th June ONLY
Coupon code - DHRUV50

Refer KukuFM to a family/friend and get INR100 cashback once they subscribe to KukuFM’s yearly susbcription.
---------------------------------------------------- 
JOIN MY COURSE: 
✏️Want to become more efficient at your studies or work? Learn how to manage time, battle procrastination in my specialised online course. Join here: https://nasacademy.com/DhruvYT

LISTEN TO MY PODCAST: 
🎧 My Spotify exclusive podcast. Learn about how India works, only on Maha Bharat with Dhruv Rathee: https://spoti.fi/3IhBW51

FOLLOW ME ON:
📩 Telegram: https://t.me/dhruvratheechannel 
📸 Instagram: http://www.instagram.com/dhruvrathee
🐦  Twitter: http://www.twitter.com/dhruv_rathee
▶️ Main Channel: http://www.youtube.com/dhruvrathee
🎦 Vlog Channel: http://www.youtube.com/dhruvratheevlogs
🩳 Shorts Channel: https://www.youtube.com/channel/UCw4IHIMsDO5wpIiprOSXiEA

MY VIDEO TOPICS:
🗺 Geopolitics: https://youtube.com/playlist?list=PL8828Z-IEhFGkz7F_paNquqsFyd357oYA
📘 History: https://youtube.com/playlist?list=PL8828Z-IEhFGSI3R-AkaB95EJBO7nBjGS
🔬 Science: https://youtube.com/playlist?list=PL8828Z-IEhFGrt2Tf1b0qg40g3AFw4YKp
☠️ Mystery: https://youtube.com/playlist?list=PL8828Z-IEhFGF2LJQrRHRtoEfS7BZHZIK
💰Finance: https://youtube.com/playlist?list=PL8828Z-IEhFEG47-MiL0G7Mh6J-T8eBoq
🇮🇳 Indian Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFErzy-eKRAiTta0GLrzn6fM
🌍 International Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFFs3hT95-ZnEHDyLduo40FU

DOWNLOAD MY APP: 
📱Android app: https://play.google.com/store/apps/details?id=com.arStudios.dhruvRatheeApp&hl=en&gl=US
📱iOS App: https://apps.apple.com/ie/app/dhruv-rathee/id1553920898
----------------------------------------------------",5296039,259180
India’s Richest Minority | How Zoroastrians became Rich? | Dhruv Rathee,"Parsi, a minority community of India has contributed a lot in every field, ranging from Business to Entertainment. People like Ratan Tata, Farhan Akhtar, Feroze Gandhi, Boman Irani, etc are a part of this community. However, this is not a community originating in India. They have assimilated into India and lived here. But unfortunately, not many people know about this community which has been a major part of India's development. Watch this video as I talk deeply about the Parsi Community, its origin, lifestyle, and more. 

Link to KukuFM-  https://kukufm.sng.link/Apksi/1ocn/9n2s
Coupon code - DHRUV50

Air India and JRD Tata Video - https://youtu.be/YeC4clsQbIo
---------------------------------------------------- 
JOIN MY COURSE: 
✏️Want to become more efficient at your studies or work? Learn how to manage time, battle procrastination in my specialised online course. Join here: https://nasacademy.com/DhruvYT

LISTEN TO MY PODCAST: 
🎧 My Spotify exclusive podcast. Learn about how India works, only on Maha Bharat with Dhruv Rathee: https://spoti.fi/3IhBW51

FOLLOW ME ON:
📩 Telegram: https://t.me/dhruvratheechannel 
📸 Instagram: http://www.instagram.com/dhruvrathee
🐦  Twitter: http://www.twitter.com/dhruv_rathee
▶️ Main Channel: http://www.youtube.com/dhruvrathee
🎦 Vlog Channel: http://www.youtube.com/dhruvratheevlogs
🩳 Shorts Channel: https://www.youtube.com/channel/UCw4IHIMsDO5wpIiprOSXiEA

MY VIDEO TOPICS:
🗺 Geopolitics: https://youtube.com/playlist?list=PL8828Z-IEhFGkz7F_paNquqsFyd357oYA
📘 History: https://youtube.com/playlist?list=PL8828Z-IEhFGSI3R-AkaB95EJBO7nBjGS
🔬 Science: https://youtube.com/playlist?list=PL8828Z-IEhFGrt2Tf1b0qg40g3AFw4YKp
☠️ Mystery: https://youtube.com/playlist?list=PL8828Z-IEhFGF2LJQrRHRtoEfS7BZHZIK
💰Finance: https://youtube.com/playlist?list=PL8828Z-IEhFEG47-MiL0G7Mh6J-T8eBoq
🇮🇳 Indian Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFErzy-eKRAiTta0GLrzn6fM
🌍 International Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFFs3hT95-ZnEHDyLduo40FU

DOWNLOAD MY APP: 
📱Android app: https://play.google.com/store/apps/details?id=com.arStudios.dhruvRatheeApp&hl=en&gl=US
📱iOS App: https://apps.apple.com/ie/app/dhruv-rathee/id1553920898
----------------------------------------------------",3710896,157384
Is Taj Mahal a Temple? | The Mystery Explained by Dhruv Rathee,"There is a controversy going on in India regarding the Taj Mahal, where a group of people is claiming that the Taj Mahal is a Shiva Temple, called ""Tejo Mahalaya"". They also claim that there are idols of Hindu Gods and Goddesses inside the 22 closed doors of the monument. According to them, Taj Mahal wasn't built by Shah Jahan. Instead, it was built by Raja Parmardi. While all these arguments are being made, what is the truth? Watch this video to find out.

Link to KukuFM-  https://kukufm.sng.link/Apksi/1ocn/9n2s
Coupon code - DHRUV50
---------------------------------------------------- 
JOIN MY COURSE: 
✏️Want to become more efficient at your studies or work? Learn how to manage time, battle procrastination in my specialised online course. Join here: https://nasacademy.com/DhruvYT

LISTEN TO MY PODCAST: 
🎧 My Spotify exclusive podcast. Learn about how India works, only on Maha Bharat with Dhruv Rathee: https://spoti.fi/3IhBW51

FOLLOW ME ON:
📩 Telegram: https://t.me/dhruvratheechannel 
📸 Instagram: http://www.instagram.com/dhruvrathee
🐦  Twitter: http://www.twitter.com/dhruv_rathee
▶️ Main Channel: http://www.youtube.com/dhruvrathee
🎦 Vlog Channel: http://www.youtube.com/dhruvratheevlogs
🩳 Shorts Channel: https://www.youtube.com/channel/UCw4IHIMsDO5wpIiprOSXiEA

MY VIDEO TOPICS:
🗺 Geopolitics: https://youtube.com/playlist?list=PL8828Z-IEhFGkz7F_paNquqsFyd357oYA
📘 History: https://youtube.com/playlist?list=PL8828Z-IEhFGSI3R-AkaB95EJBO7nBjGS
🔬 Science: https://youtube.com/playlist?list=PL8828Z-IEhFGrt2Tf1b0qg40g3AFw4YKp
☠️ Mystery: https://youtube.com/playlist?list=PL8828Z-IEhFGF2LJQrRHRtoEfS7BZHZIK
💰Finance: https://youtube.com/playlist?list=PL8828Z-IEhFEG47-MiL0G7Mh6J-T8eBoq
🇮🇳 Indian Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFErzy-eKRAiTta0GLrzn6fM
🌍 International Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFFs3hT95-ZnEHDyLduo40FU

DOWNLOAD MY APP: 
📱Android app: https://play.google.com/store/apps/details?id=com.arStudios.dhruvRatheeApp&hl=en&gl=US
📱iOS App: https://apps.apple.com/ie/app/dhruv-rathee/id1553920898
----------------------------------------------------",10564382,492156
Mystery of Supersonic Airplane | Concorde Plane Crash | Dhruv Rathee,"Paris witnessed one of the worst airplane crashes in the world, when a Concorde supersonic jet Air France Flight 4590 crashed, leading to the loss of 100+ people. It was an airplane that was considered a luxury, and it traveled at double the speed of sound. But how did this crash happen? What went wrong? Watch this video to find out as I talk about this incident in detail.

Download Vested App: https://go.vestedfinance.com/dhruvrathee

---------------------------------------------------- 
JOIN MY COURSE: 
✏️Want to become more efficient at your studies or work? Learn how to manage time, battle procrastination in my specialised online course. Join here: https://nasacademy.com/DhruvYT

LISTEN TO MY PODCAST: 
🎧 My Spotify exclusive podcast. Learn about how India works, only on Maha Bharat with Dhruv Rathee: https://spoti.fi/3IhBW51

FOLLOW ME ON:
📩 Telegram: https://t.me/dhruvratheechannel 
📸 Instagram: http://www.instagram.com/dhruvrathee
🐦  Twitter: http://www.twitter.com/dhruv_rathee
▶️ Main Channel: http://www.youtube.com/dhruvrathee
🎦 Vlog Channel: http://www.youtube.com/dhruvratheevlogs
🩳 Shorts Channel: https://www.youtube.com/channel/UCw4IHIMsDO5wpIiprOSXiEA

MY VIDEO TOPICS:
🗺 Geopolitics: https://youtube.com/playlist?list=PL8828Z-IEhFGkz7F_paNquqsFyd357oYA
📘 History: https://youtube.com/playlist?list=PL8828Z-IEhFGSI3R-AkaB95EJBO7nBjGS
🔬 Science: https://youtube.com/playlist?list=PL8828Z-IEhFGrt2Tf1b0qg40g3AFw4YKp
☠️ Mystery: https://youtube.com/playlist?list=PL8828Z-IEhFGF2LJQrRHRtoEfS7BZHZIK
💰Finance: https://youtube.com/playlist?list=PL8828Z-IEhFEG47-MiL0G7Mh6J-T8eBoq
🇮🇳 Indian Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFErzy-eKRAiTta0GLrzn6fM
🌍 International Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFFs3hT95-ZnEHDyLduo40FU

DOWNLOAD MY APP: 
📱Android app: https://play.google.com/store/apps/details?id=com.arStudios.dhruvRatheeApp&hl=en&gl=US
📱iOS App: https://apps.apple.com/ie/app/dhruv-rathee/id1553920898
----------------------------------------------------

0:00 Introduction
3:19 Breaking the Sound Barrier 
5:09 The Sonic Boom
6:40 History of Supersonic flights
7:47 Rise of Concorde Airliner 
13:41 Downfall of Concorde 
16:29 Future of Supersonic Planes",5098365,216286
Mystery of Titanic | How the World's Greatest Ship Disappeared? | Dhruv Rathee in Hindi,"The Titanic is probably one of the most popular Ships in the world due to the tragic incident associated with it. It was a British passenger ship traveling from England to the United States, which faced a collision with an iceberg, leading to a devastating accident that resulted in the loss 1500+ People. This accident to date is considered one of the most disastrous events in history. But what exactly happened? What is the real story behind the Fall of the Titanic? Watch this video to find out!

---------------------------------------------------- 
JOIN MY COURSE: 
✏️Want to become more efficient at your studies or work? Learn how to manage time, battle procrastination in my specialised online course. Join here: https://nasacademy.com/DhruvYT

LISTEN TO MY PODCAST: 
🎧 My Spotify exclusive podcast. Learn about how India works, only on Maha Bharat with Dhruv Rathee: https://spoti.fi/3IhBW51

FOLLOW ME ON:
📩 Telegram: https://t.me/dhruvratheechannel 
📸 Instagram: http://www.instagram.com/dhruvrathee
🐦  Twitter: http://www.twitter.com/dhruv_rathee
▶️ Main Channel: http://www.youtube.com/dhruvrathee
🎦 Vlog Channel: http://www.youtube.com/dhruvratheevlogs
🩳 Shorts Channel: https://www.youtube.com/channel/UCw4IHIMsDO5wpIiprOSXiEA

MY VIDEO TOPICS:
🗺 Geopolitics: https://youtube.com/playlist?list=PL8828Z-IEhFGkz7F_paNquqsFyd357oYA
📘 History: https://youtube.com/playlist?list=PL8828Z-IEhFGSI3R-AkaB95EJBO7nBjGS
🔬 Science: https://youtube.com/playlist?list=PL8828Z-IEhFGrt2Tf1b0qg40g3AFw4YKp
☠️ Mystery: https://youtube.com/playlist?list=PL8828Z-IEhFGF2LJQrRHRtoEfS7BZHZIK
💰Finance: https://youtube.com/playlist?list=PL8828Z-IEhFEG47-MiL0G7Mh6J-T8eBoq
🇮🇳 Indian Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFErzy-eKRAiTta0GLrzn6fM
🌍 International Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFFs3hT95-ZnEHDyLduo40FU

DOWNLOAD MY APP: 
📱Android app: https://play.google.com/store/apps/details?id=com.arStudios.dhruvRatheeApp&hl=en&gl=US
📱iOS App: https://apps.apple.com/ie/app/dhruv-rathee/id1553920898
----------------------------------------------------",12705709,423890
Business Model of IPL | How IPL Teams Make Money? | Dhruv Rathee,"India loves IPL like anything. Every year the IPL season brings a lot of excitement, happiness, and one more thing- money. But have you ever thought about how IPL Makes Money? What is the economics behind this nationwide popular Cricket form? Who really benefits from all the events that take place? Is it the players of the winning team or the organizers of the tournament? Watch this video to find out what is the business model of IPL.  

---------------------------------------------------- 
JOIN MY COURSE: 
✏️Want to become more efficient at your studies or work? Learn how to manage time, battle procrastination in my specialised online course. Join here: https://nasacademy.com/DhruvYT

LISTEN TO MY PODCAST: 
🎧 My Spotify exclusive podcast. Learn about how India works, only on Maha Bharat with Dhruv Rathee: https://spoti.fi/3IhBW51

FOLLOW ME ON:
📩 Telegram: https://t.me/dhruvratheechannel 
📸 Instagram: http://www.instagram.com/dhruvrathee
🐦  Twitter: http://www.twitter.com/dhruv_rathee
▶️ Main Channel: http://www.youtube.com/dhruvrathee
🎦 Vlog Channel: http://www.youtube.com/dhruvratheevlogs
🩳 Shorts Channel: https://www.youtube.com/channel/UCw4IHIMsDO5wpIiprOSXiEA

MY VIDEO TOPICS:
🗺 Geopolitics: https://youtube.com/playlist?list=PL8828Z-IEhFGkz7F_paNquqsFyd357oYA
📘 History: https://youtube.com/playlist?list=PL8828Z-IEhFGSI3R-AkaB95EJBO7nBjGS
🔬 Science: https://youtube.com/playlist?list=PL8828Z-IEhFGrt2Tf1b0qg40g3AFw4YKp
☠️ Mystery: https://youtube.com/playlist?list=PL8828Z-IEhFGF2LJQrRHRtoEfS7BZHZIK
💰Finance: https://youtube.com/playlist?list=PL8828Z-IEhFEG47-MiL0G7Mh6J-T8eBoq
🇮🇳 Indian Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFErzy-eKRAiTta0GLrzn6fM
🌍 International Current Affairs: https://youtube.com/playlist?list=PL8828Z-IEhFFs3hT95-ZnEHDyLduo40FU

DOWNLOAD MY APP: 
📱Android app: https://play.google.com/store/apps/details?id=com.arStudios.dhruvRatheeApp&hl=en&gl=US
📱iOS App: https://apps.apple.com/ie/app/dhruv-rathee/id1553920898
----------------------------------------------------

0:00 Introduction
1:16 How BCCI earns money?
4:03 Revenue Model of IPL
4:31 Corporate Sponsorships 
7:33 How Star Sports earn money? 
9:11 How IPL Teams earn money?

Disclaimer: Crypto products and NFTs are unregulated and can be highly risky. There may be no regulatory recourse for any loss from such transactions.
For any queries, contact - CoinSwitch Kuber (Bitcipher Labs LLP) at support@coinswitch.co",3834266,215357
Sri Lankan Prime Minister Resigns! | Dynasty Rule Still Continues | Dhruv Rathee,"Sri Lanka is facing the worst economic crisis ever. Inflation in the country has become very high, and there is also a shortage of necessary things like food, fuel, and medicines. The Situation is so bad that it has even taken a violent turn. Amid all this chaos, Sri Lankan Prime Minister Mahindra Rajapaksa has resigned from his position, and the Central Bank says that if no government is formed within 2 days, the entire economy would collapse and would never be restored. But how did all these things happen? Watch this video to find out where I talk about what is happening in Sri Lanka right now.

Download Kuvera App: https://bit.ly/3vzWwe8

Kuvera Youtube: https://www.youtube.com/c/Kuvera/videos

Link to previous Sri Lanka video: https://youtu.be/LLw-T_d-wWo

---------------------------------------------------- 
LISTEN TO MY PODCAST: 
Learn about how India works, only on Maha Bharat with Dhruv Rathee: https://spoti.fi/3IhBW51

DOWNLOAD MY APP: 
📱Android app: https://play.google.com/store/apps/details?id=com.arStudios.dhruvRatheeApp&hl=en&gl=US
📱iOS App: https://apps.apple.com/ie/app/dhruv-rathee/id1553920898

MY FAVOURITE EQUIPMENT: 
🎥 Studio Camera: https://amzn.to/2McQ8Vs
🔎 Studio Camera Lens: https://amzn.to/365fYSs
📸 Vlogging Camera: https://amzn.to/2Y6hoaP
🥢 Vlogging Tripod: https://amzn.to/2KKdcuq
🎙 Podcast Mic: https://amzn.to/3qLPkpq

MY FAVOURITE BOOKS: 
📖 Sapiens - https://amzn.to/38QX56d
📖 Homo Deus - https://amzn.to/3o1nzIB
📖 Mahatma Gandhi - https://amzn.to/3n5fQYN
📖 Juli’s Hindi Learning Book - https://amzn.to/3bhAcvx

FOLLOW ME ON:
📩 Telegram: https://t.me/dhruvratheechannel 
📸 Instagram: http://www.instagram.com/dhruvrathee
🐦  Twitter: http://www.twitter.com/dhruv_rathee
▶️ Youtube Channel: http://www.youtube.com/dhruvrathee
🎦 Vlog Channel: http://www.youtube.com/dhruvratheevlogs

MORE VIDEOS:
🗺 Ground Reports: https://youtube.com/playlist?list=PL8828Z-IEhFElbtrrY3CmUILpKDw4c7N_
🇺🇳 International Issues: https://youtube.com/playlist?list=PL8828Z-IEhFFs3hT95-ZnEHDyLduo40FU
💲 Finance Videos: https://youtube.com/playlist?list=PL8828Z-IEhFEG47-MiL0G7Mh6J-T8eBoq
📚 Educational Videos: https://youtube.com/playlist?list=PL8828Z-IEhFGAg0WRVHxHtHjHdIAlj5hA
🇮🇳 Indian Issues: https://youtube.com/playlist?list=PL8828Z-IEhFErzy-eKRAiTta0GLrzn6fM
🎦 My Vlogs: http://www.youtube.com/dhruvratheevlogs
----------------------------------------------------

0:00 Introduction
1:08 How things unfolded?
5:44 Rajapaksas Crazy dynasty 
8:12 Political System in Sri Lanka
12:41 How Rajapaksa dealt with communal tensions
15:15 Any solutions?",2860754,137997
How Social Media Destroys Your Life? | Science behind Addiction | Dhruv Rathee,"Join my Course: courses.dhruvrathee.com

How many times do you scroll Instagram, YouTube, Facebook, or any other such social media platform in an hour? Probably infinite. We all have become so addicted to Social Media that we don't even realize the impact it is having on our lives. Social Media is like any other addiction- whether it is drugs, cigarettes, or alcohol. It can destroy you. It can make you crazy. It can make you mad. But then what to do? What is the solution? How to get rid of this trap? Watch this video to know the scientific reasons behind your Social Media, and what can you do to reduce your addiction.

Join my Course: courses.dhruvrathee.com

Note: Use coupon code DR10 for 10% off
---------------------------------------------------- 
LISTEN TO MY PODCAST: 
Learn about how India works, only on Maha Bharat with Dhruv Rathee: https://spoti.fi/3IhBW51

DOWNLOAD MY APP: 
📱Android app: https://play.google.com/store/apps/details?id=com.arStudios.dhruvRatheeApp&hl=en&gl=US
📱iOS App: https://apps.apple.com/ie/app/dhruv-rathee/id1553920898

MY FAVOURITE EQUIPMENT: 
🎥 Studio Camera: https://amzn.to/2McQ8Vs
🔎 Studio Camera Lens: https://amzn.to/365fYSs
📸 Vlogging Camera: https://amzn.to/2Y6hoaP
🥢 Vlogging Tripod: https://amzn.to/2KKdcuq
🎙 Podcast Mic: https://amzn.to/3qLPkpq

MY FAVOURITE BOOKS: 
📖 Sapiens - https://amzn.to/38QX56d
📖 Homo Deus - https://amzn.to/3o1nzIB
📖 Mahatma Gandhi - https://amzn.to/3n5fQYN
📖 Juli’s Hindi Learning Book - https://amzn.to/3bhAcvx

FOLLOW ME ON:
📩 Telegram: https://t.me/dhruvratheechannel 
📸 Instagram: http://www.instagram.com/dhruvrathee
🐦  Twitter: http://www.twitter.com/dhruv_rathee
▶️ Youtube Channel: http://www.youtube.com/dhruvrathee
🎦 Vlog Channel: http://www.youtube.com/dhruvratheevlogs

MORE VIDEOS:
🗺 Ground Reports: https://youtube.com/playlist?list=PL8828Z-IEhFElbtrrY3CmUILpKDw4c7N_
🇺🇳 International Issues: https://youtube.com/playlist?list=PL8828Z-IEhFFs3hT95-ZnEHDyLduo40FU
💲 Finance Videos: https://youtube.com/playlist?list=PL8828Z-IEhFEG47-MiL0G7Mh6J-T8eBoq
📚 Educational Videos: https://youtube.com/playlist?list=PL8828Z-IEhFGAg0WRVHxHtHjHdIAlj5hA
🇮🇳 Indian Issues: https://youtube.com/playlist?list=PL8828Z-IEhFErzy-eKRAiTta0GLrzn6fM
🎦 My Vlogs: http://www.youtube.com/dhruvratheevlogs
----------------------------------------------------",4712483,298578
Cuba Missile Crisis | How USA and Soviet Union almost started WW3 | Dhruv Rathee,"There was a time in history when tensions between the USA and the Soviet Union intensified, and they came very close to a Nuclear War, which might have turned into World War 3. Both the countries were fighting for nuclear superiority. On one side the USA deployed its missiles in Italy, whereas on the other side, the Soviet Union deployed its Missiles in Cuba. But what exactly happened that led to this 13 Day Cold War? Watch this video to find out where I explain the Cuban Missile Crisis and everything you need to know about it.

Link to KukuFM-  https://kukufm.sng.link/Apksi/1ocn/9n2s
Coupon code - DHRUV50

---------------------------------------------------- 
LISTEN TO MY PODCAST: 
Learn about how India works, only on Maha Bharat with Dhruv Rathee: https://spoti.fi/3IhBW51

DOWNLOAD MY APP: 
📱Android app: https://play.google.com/store/apps/details?id=com.arStudios.dhruvRatheeApp&hl=en&gl=US
📱iOS App: https://apps.apple.com/ie/app/dhruv-rathee/id1553920898

MY FAVOURITE EQUIPMENT: 
🎥 Studio Camera: https://amzn.to/2McQ8Vs
🔎 Studio Camera Lens: https://amzn.to/365fYSs
📸 Vlogging Camera: https://amzn.to/2Y6hoaP
🥢 Vlogging Tripod: https://amzn.to/2KKdcuq
🎙 Podcast Mic: https://amzn.to/3qLPkpq

MY FAVOURITE BOOKS: 
📖 Sapiens - https://amzn.to/38QX56d
📖 Homo Deus - https://amzn.to/3o1nzIB
📖 Mahatma Gandhi - https://amzn.to/3n5fQYN
📖 Juli’s Hindi Learning Book - https://amzn.to/3bhAcvx

FOLLOW ME ON:
📩 Telegram: https://t.me/dhruvratheechannel 
📸 Instagram: http://www.instagram.com/dhruvrathee
🐦  Twitter: http://www.twitter.com/dhruv_rathee
▶️ Youtube Channel: http://www.youtube.com/dhruvrathee
🎦 Vlog Channel: http://www.youtube.com/dhruvratheevlogs

MORE VIDEOS:
🗺 Ground Reports: https://youtube.com/playlist?list=PL8828Z-IEhFElbtrrY3CmUILpKDw4c7N_
🇺🇳 International Issues: https://youtube.com/playlist?list=PL8828Z-IEhFFs3hT95-ZnEHDyLduo40FU
💲 Finance Videos: https://youtube.com/playlist?list=PL8828Z-IEhFEG47-MiL0G7Mh6J-T8eBoq
📚 Educational Videos: https://youtube.com/playlist?list=PL8828Z-IEhFGAg0WRVHxHtHjHdIAlj5hA
🇮🇳 Indian Issues: https://youtube.com/playlist?list=PL8828Z-IEhFErzy-eKRAiTta0GLrzn6fM
🎦 My Vlogs: http://www.youtube.com/dhruvratheevlogs
----------------------------------------------------",5893835,229635
